Identifiable,Contected,HasIMG,HasDESC,Month,Item,Place_Item_founded,Item_condition
0,0,1,0,08,16,2,1
1,0,0,0,08,6,2,1
0,0,1,0,08,12,2,1
0,0,1,0,08,8,2,1
0,0,1,0,07,12,2,1
0,0,1,0,07,16,2,1
0,0,1,0,07,16,2,1
0,0,1,0,07,7,2,1
1,0,1,0,07,12,2,1
0,0,0,0,07,12,0,1
1,0,0,0,07,14,0,1
0,0,0,0,07,9,0,1
0,0,1,0,07,16,2,1
0,0,0,0,07,12,0,1
0,0,0,0,07,10,0,1
0,0,1,0,07,16,2,1
0,0,1,0,07,2,2,1
1,0,0,0,07,14,0,1
0,0,0,0,07,0,0,1
0,0,0,0,07,4,0,1
1,0,0,0,07,14,2,1
0,0,1,0,07,16,2,1
0,0,0,0,07,12,0,1
0,0,0,0,07,12,0,1
0,0,0,0,07,10,0,1
0,0,0,0,07,4,0,1
0,0,0,0,07,10,0,1
0,0,0,0,07,10,2,1
0,0,0,0,07,0,2,1
1,0,0,0,07,14,2,1
0,0,1,0,07,12,2,1
0,0,0,0,07,16,0,1
0,0,0,0,07,0,0,1
0,0,0,0,07,0,0,1
1,0,0,0,07,14,0,1
0,0,0,0,07,10,0,1
0,0,0,0,07,8,2,1
0,0,1,0,07,12,2,0
0,0,1,0,07,11,2,1
0,0,0,0,07,9,0,1
0,0,0,0,07,13,0,1
0,0,0,0,07,9,0,1
0,0,0,0,07,12,0,1
0,0,1,0,07,16,2,1
0,0,0,0,07,9,0,1
0,0,0,0,07,4,0,1
0,0,0,0,07,9,0,1
0,0,0,0,07,10,0,1
0,0,0,0,07,2,0,1
0,0,0,0,07,2,0,1
0,0,0,0,07,2,0,1
0,0,0,0,07,13,0,1
0,0,0,0,07,9,0,1
0,0,0,0,07,7,0,1
0,0,0,0,07,10,2,1
0,0,1,0,07,8,2,1
0,0,0,0,07,16,0,1
0,0,0,0,07,3,0,1
0,0,1,0,07,4,2,1
0,0,1,0,07,13,2,1
0,0,0,0,07,8,0,1
0,0,0,0,07,2,0,1
0,0,0,0,07,16,0,1
0,0,0,0,07,9,0,1
0,0,0,0,07,10,0,1
0,0,1,0,07,8,2,1
0,0,0,0,07,9,2,1
0,1,0,0,07,10,2,1
0,0,0,0,07,16,2,1
0,0,0,0,07,12,0,1
0,0,1,0,07,16,2,1
0,0,0,0,07,16,2,1
0,0,0,0,07,12,0,1
0,0,0,0,07,12,0,1
0,0,0,0,07,10,0,1
0,0,0,0,07,2,0,1
1,0,0,0,07,14,0,1
0,0,1,0,07,16,2,1
0,0,0,0,07,11,2,1
0,0,1,0,07,16,2,1
0,0,1,0,07,16,2,1
0,0,1,0,07,3,2,1
1,0,0,0,07,6,0,1
0,0,0,0,07,4,0,1
0,0,0,0,07,8,0,1
0,0,1,0,07,5,0,1
1,0,1,0,07,12,2,0
0,0,1,0,07,11,2,1
1,0,1,0,07,12,2,1
1,0,0,0,07,14,0,1
1,0,0,0,07,14,0,1
0,0,0,0,07,12,0,1
1,0,0,0,07,6,2,1
0,0,0,0,07,9,0,1
0,0,0,0,07,7,0,1
0,0,1,0,07,12,2,1
0,0,0,0,07,16,2,2
1,0,0,0,07,14,0,1
0,0,0,0,07,0,2,1
0,0,1,0,07,16,2,2
0,0,0,0,07,9,0,1
0,0,0,0,07,2,0,1
0,0,0,0,07,4,0,1
0,0,0,0,07,16,2,1
0,0,1,0,07,16,2,2
0,0,0,0,07,12,2,1
0,0,1,0,07,8,2,1
1,0,0,0,07,14,0,1
0,0,0,0,07,16,2,1
0,0,0,0,07,12,2,1
0,0,1,0,07,12,2,1
